image,type,beta,n_clusters,avg_intra_dist,std_intra_dist,importance
000001,clean,0.0,1.0,108.57342732601005,0.0,43264.0
000001,attacked,0.0,1.0,109.1904844891516,0.0,43264.0
000001,clean,0.05,2.0,55.15140943951212,54.15140943951212,43065.0
000001,attacked,0.05,2.0,48.874428168918676,46.99776229498755,30858.0
000001,clean,0.1,14.0,8.815841417764364,24.654584110777552,28247.0
000001,attacked,0.1,25.0,5.806661135895398,18.372818759232445,27675.0
000001,clean,0.15,40.0,4.495213934467687,15.294309315979994,26104.0
000001,attacked,0.15,163.0,2.5309833709456275,5.3545819998397,8784.0
000001,clean,0.2,152.0,2.745346928071367,5.418315332409234,7092.0
000001,attacked,0.2,81.0,2.991836253030696,4.648116878648235,4430.0
000001,clean,0.25,109.0,2.484923401967281,3.4307129302067536,3717.0
000001,attacked,0.25,76.0,2.4309015365483533,2.3164325329430953,2692.0
000001,clean,0.3,92.0,1.8979326798488187,1.529602789227928,2210.0
000001,attacked,0.3,70.0,2.3445489663586963,1.6008478703907318,1824.0
000001,clean,0.35,52.0,2.057238431064845,1.659964188160456,1598.0
000001,attacked,0.35,68.0,1.8891063902579721,1.201130636910589,1052.0
000001,clean,0.4,34.0,2.22655986530504,1.650378282302516,1049.0
000001,attacked,0.4,48.0,1.722456769901333,0.9666535316583864,678.0
000001,clean,0.45,32.0,1.9452471542593406,1.400842089894024,622.0
000001,attacked,0.45,27.0,1.6700966657378544,0.733012602816593,428.0
000001,clean,0.5,25.0,1.8158601144777646,1.2823351436033348,393.0
000001,attacked,0.5,21.0,1.3454343727511482,0.23225601020268016,266.0
000001,clean,0.55,12.0,2.37892742579479,1.4163934613695217,275.0
000001,attacked,0.55,14.0,1.2898172409338777,0.17371637436894882,169.0
000001,clean,0.6,11.0,1.8683148350043781,0.9798524226333724,178.0
000001,attacked,0.6,5.0,1.352176819359385,0.09487793047003956,105.0
000001,clean,0.65,7.0,1.49678256695837,0.5634224909171608,109.0
000001,attacked,0.65,0.0,0.0,0.0,67.0
000001,clean,0.7,4.0,1.4085848281433964,0.12718012183102723,71.0
000001,attacked,0.7,0.0,0.0,0.0,39.0
000001,clean,0.75,3.0,1.2031585694162434,0.14365480209038362,39.0
000001,attacked,0.75,0.0,0.0,0.0,25.0
000001,clean,0.8,1.0,1.304737854124365,0.0,24.0
000001,attacked,0.8,0.0,0.0,0.0,15.0
000001,clean,0.85,0.0,0.0,0.0,9.0
